Name,Latitude,Longitude,Cost,Priority of visiting
Yosemite National Park,37.8651° N,137.8651° N,,1
Everglades National Park,25.2866° N,80.8987° W,,2
Yellowstone National Park,"44.4280° N,",110.5885°,,3
San Antonio Missions National Historical Park,"29.3604° N,","98.4792° W
",,4
Times Square,40.7580° N,73.9855° W,,5
Pictured Rocks National Lakeshore ,"46.5216° N,",86.4551° W,,6
Kauai,"22.0964° N,",159.5261° W,,7
Beacon Hill,42.3588° N,71.0707° W,,8
Valley of Fire State Park,36.5073° N,114.5352° W,,9
The Wave,37.0424° N,112.5122° W,,10
One World Trade Center,40.7127° N,74.0134° W,,11
Badlands National Park,43.8554° N,102.3397° W,,12
360 Chicago Observation Deck,41.8989° N,87.6235° W,,13
Devils Tower,44.5902° N,104.7146° W,,14
Olympic National Park,47.8021° N,123.6044° W,,15
Brooklyn Bridge,40.7061° N,73.9969° W,,16
Malibu,34.0259° N,118.7798° W,,17
Misty Fjords National Monument ,55.3718 N,130.3626 W,,18
Lahaina,20.8783° N,156.6825° W,,19
Chrysler Building,40.7516° N,73.9755° W,,20
Venice Beach,33.9850° N,118.4695° W,,21
Rocky Mountains National Park,40.3428° N,105.6836° W,,22
Napa Valley,38.5025° N,122.2654° W,,23
Lincoln Memorial ,38.8893° N,77.0502° W,,24
Guggenheim Museum ,40.7830° N,73.9590° W,,25
Catalina Island ,33.3879° N,118.4163° W,,26
Molokai,21.1444° N,157.0226° W,,27
Santa Monica,34.0195° N,118.4912° W,,28
Redwood National Park,41.2132° N,24.0046° W,,29
Golden Gate Bridge ,37.8199° N,122.4783° W,,30
SeaWorld,28.4097° N,81.4597° W,,31
Horseshoe Bend,36.8791° N,111.5104° W,,32
French Quarter ,29.9584° N,90.0644° W,,33
Saint Augustine,29.9012° N,81.3124° W,,34
Montezuma Castle ,34.6116° N,111.8350° W,,35
Lanikai Beach,21.3925° N,157.7151° W,,36
Great Smoky Mountains National Park,35.6131° N,83.5532° W,,37
Chimney Rock,35.4393° N,82.2465° W,,38
Madison Square Garden ,40.7505° N,73.9934° W,,39
Crater Lake,42.9446° N,122.1090° W,,40
Dakota Building,40.7765° N,73.9761° W,,41
Mount Hood National Forest ,45.3298° N,121.7132° W,,42
Isle Royale National Park,47.9959° N,88.9093° W,,43
Fairmount Park,39.9881° N,75.1971° W,,44
Wailea Beach,20.6828° N,156.4430° W,,45
Mono Lake,38.0128° N,118.9762° W,,46
Central Park,"40.7812° N,",73.9665° W,,47
Washington Monument ,38.8895° N,77.0353° W,,48
The Pentagon ,38.8719° N,77.0563° W,,49
Beverly Hills,34.0736° N,118.4004° W,,50
Mesa Verde National Park,37.2309° N,108.4618° W,,51
Apostle Islands,47.0027° N,90.6908° W,,52
The White House ,38.8977° N,77.0365° W,,53
The Statue of Liberty ,40.6892° N,74.0445° W,,54
Zion National Park ,37.2982° N,113.0263° W,,55
La Jolla Beach,32.8503° N,117.2730° W,,56
Field Museum of Natural History,41.8663° N,87.6170° W,,57
Oneonta Gorge,45.5792° N,122.0723° W,,58
Mount Rushmore ,43.8791° N,103.4591° W,,59
Hamilton Pool Preserve,30.3423° N,98.1271° W,,60
Graceland Mansion,35.0477° N,90.0260° W,,61
Empire State Building,40.7484° N,73.9857° W,,62
Hollywood,34.0928° N,118.3287° W,,63
Flatiron Building ,40.7411° N,73.9897° W,,64
Cathedral Basilica of Saint Louis,38.6425° N,90.2547° W,,65
Atlantic City,39.3643° N,74.4229° W,,66
Hawai’i Volcanoes National Park,19.4194° N,155.2885° W,,67
Savannah,32.0809° N,81.0912° W,,68
Space Needle,47.6205° N,122.3493° W,,69
Cannon Beach,45.8918° N,123.9615° W,,70
Gulf State Park ,30.2684° N,87.6342° W,,71
The Glass Beaches of Fort Bragg,39.4526° N,123.8135° W,,72
Mount Rainier National Park ,46.8800° N,121.7269° W,,73
"Art Deco Historic District, Miami Beach",25.7803° N,"80.1304° W
",,74
Havasu Creek,34.483696° N,114.325638° W,,75
Museum of Modern Art – MoMA,40.7614° N,73.9776° W,,76
Glacier National Park,48.7596° N,113.7870° W,,77
Key West,24.5551° N,81.7800° W,,78
"The Gateway Arch, St. Louis ",38.6247° N,90.1848° W,,79
Niagara Falls,43.0962° N,"79.0377° W
",,80
Arches National Park ,38.7331° N,109.5925° W,,81
Mammoth Cave National Park ,37.1862° N,86.1000° W,,82
Walk of Fame,34.1016° N,118.3267° W,,83
Alcatraz Island,37.8270° N,122.4230° W,,84
Antelope Canyon,6.8619° N,111.3743° W,,85
Three Pools,44.8390° N,122.3119° W,,86
Las Vegas Strip,36.1147° N,115.1728° W,,87
Disneyland,33.8121° N,117.9190° W,,88
Denali National Park,63.1148° N,151.1926° W,,89
The Capitol Building ,38.8899° N,77.0091° W,,90
Emerald Coast,30.3935° N,86.4958° W,,91
Monument Valley,36.9980° N,110.0985° W,,92
Waikiki Beach,21.2793° N,157.8292° W,,93
Cape Cod,41.6688° N,70.2962° W,,94
Dry Tortugas National Park ,24.6285° N,82.8732° W,,95
Grand Canyon National Park ,36.1069° N,112.1129° W,,96
Death Valley,36.5323° N,116.9325° W,,97
Aspen,39.1911° N,106.8175° W,,98
White Sands National Monument,32.7872° N,106.3257° W,,99
Joshua Tree National Park ,33.8734° N,115.9010° W,,100